x,y,z
1.000000000000000000e+03,1.202264434617413144e+03,0.000000000000000000e+00
1.202264434617413144e+03,1.445439770745927945e+03,0.000000000000000000e+00
1.445439770745927945e+03,1.737800828749376251e+03,0.000000000000000000e+00
1.737800828749376251e+03,2.089296130854038893e+03,0.000000000000000000e+00
2.089296130854038893e+03,2.511886431509579779e+03,0.000000000000000000e+00
2.511886431509579779e+03,3.019951720402016235e+03,0.000000000000000000e+00
3.019951720402016235e+03,3.630780547701013802e+03,0.000000000000000000e+00
3.630780547701013802e+03,4.365158322401661280e+03,0.000000000000000000e+00
4.365158322401661280e+03,5.248074602497723390e+03,0.000000000000000000e+00
5.248074602497723390e+03,6.309573444801930236e+03,0.000000000000000000e+00
6.309573444801930236e+03,7.585775750291835720e+03,0.000000000000000000e+00
7.585775750291835720e+03,9.120108393559095930e+03,0.000000000000000000e+00
9.120108393559095930e+03,1.096478196143185050e+04,3.681686372568873715e-05
1.096478196143185050e+04,1.318256738556407436e+04,8.656732613858373628e-05
1.318256738556407436e+04,1.584893192461114086e+04,2.651219405122518446e-04
1.584893192461114086e+04,1.905460717963248317e+04,3.278221854083214308e-03
1.905460717963248317e+04,2.290867652767774780e+04,1.565775050290934764e-02
2.290867652767774780e+04,2.754228703338163177e+04,4.457448199634959224e-02
2.754228703338163177e+04,3.311311214825907518e+04,1.033907414444682898e-01
3.311311214825907518e+04,3.981071705534969078e+04,1.937179069233068429e-01
3.981071705534969078e+04,4.786300923226380110e+04,3.296323629454447901e-01
4.786300923226380110e+04,5.754399373371566617e+04,5.478078902647455228e-01
5.754399373371566617e+04,6.918309709189362184e+04,8.904431303147499754e-01
6.918309709189362184e+04,8.317637711026708712e+04,1.376706574773155500e+00
8.317637711026708712e+04,1.000000000000000000e+05,2.002806165680031558e+00
1.000000000000000000e+05,1.202264434617413062e+05,2.714231513560468656e+00
1.202264434617413062e+05,1.445439770745928108e+05,3.503141877101597856e+00
1.445439770745928108e+05,1.737800828749376233e+05,4.299258856772304682e+00
1.737800828749376233e+05,2.089296130854040966e+05,5.117814065954020109e+00
2.089296130854040966e+05,2.511886431509582035e+05,5.885811021509596230e+00
2.511886431509582035e+05,3.019951720402018982e+05,6.512843829061727874e+00
3.019951720402018982e+05,3.630780547701017349e+05,7.332189319057470733e+00
3.630780547701017349e+05,4.365158322401665500e+05,8.109341234297831491e+00
4.365158322401665500e+05,5.248074602497733431e+05,9.157420105684327183e+00
5.248074602497733431e+05,6.309573444801942678e+05,9.974486893611626215e+00
6.309573444801942678e+05,7.585775750291835284e+05,1.101658765938783091e+01
7.585775750291835284e+05,9.120108393559096148e+05,1.206149435327709618e+01
9.120108393559096148e+05,1.096478196143185021e+06,1.323810458993322392e+01
1.096478196143185021e+06,1.318256738556407392e+06,1.457977053092377417e+01
1.318256738556407392e+06,1.584893192461114144e+06,1.582108057072166929e+01
1.584893192461114144e+06,1.905460717963248258e+06,1.725757065949322566e+01
1.905460717963248258e+06,2.290867652767769992e+06,1.894259292167466313e+01
2.290867652767769992e+06,2.754228703338163439e+06,2.091527485771617023e+01
2.754228703338163439e+06,3.311311214825907722e+06,2.319312929227638165e+01
3.311311214825907722e+06,3.981071705534969456e+06,2.712288438293802173e+01
3.981071705534969456e+06,4.786300923226380721e+06,3.381648804773811179e+01
4.786300923226380721e+06,5.754399373371566646e+06,6.746094856943555840e+01
5.754399373371566646e+06,6.918309709189362824e+06,5.725721420438051155e+02
6.918309709189362824e+06,8.317637711026708595e+06,7.418570663884349869e+01
8.317637711026708595e+06,1.000000000000000000e+07,4.278099102324706138e+01
