x,y,z
1.000000000000000000e+03,1.202264434617413144e+03,0.000000000000000000e+00
1.202264434617413144e+03,1.445439770745927945e+03,0.000000000000000000e+00
1.445439770745927945e+03,1.737800828749376251e+03,0.000000000000000000e+00
1.737800828749376251e+03,2.089296130854038893e+03,0.000000000000000000e+00
2.089296130854038893e+03,2.511886431509579779e+03,0.000000000000000000e+00
2.511886431509579779e+03,3.019951720402016235e+03,0.000000000000000000e+00
3.019951720402016235e+03,3.630780547701013802e+03,0.000000000000000000e+00
3.630780547701013802e+03,4.365158322401661280e+03,0.000000000000000000e+00
4.365158322401661280e+03,5.248074602497723390e+03,0.000000000000000000e+00
5.248074602497723390e+03,6.309573444801930236e+03,0.000000000000000000e+00
6.309573444801930236e+03,7.585775750291835720e+03,0.000000000000000000e+00
7.585775750291835720e+03,9.120108393559095930e+03,0.000000000000000000e+00
9.120108393559095930e+03,1.096478196143185050e+04,0.000000000000000000e+00
1.096478196143185050e+04,1.318256738556407436e+04,0.000000000000000000e+00
1.318256738556407436e+04,1.584893192461114086e+04,0.000000000000000000e+00
1.584893192461114086e+04,1.905460717963248317e+04,1.175999506968795747e-04
1.905460717963248317e+04,2.290867652767774780e+04,1.630522678269141724e-03
2.290867652767774780e+04,2.754228703338163177e+04,9.792205475379440680e-03
2.754228703338163177e+04,3.311311214825907518e+04,2.744471841206144042e-02
3.311311214825907518e+04,3.981071705534969078e+04,6.739022667866977068e-02
3.981071705534969078e+04,4.786300923226380110e+04,1.282105140298693824e-01
4.786300923226380110e+04,5.754399373371566617e+04,2.387299919909765811e-01
5.754399373371566617e+04,6.918309709189362184e+04,3.766972294845989944e-01
6.918309709189362184e+04,8.317637711026708712e+04,6.946149514424428961e-01
8.317637711026708712e+04,1.000000000000000000e+05,1.009606287063432806e+00
1.000000000000000000e+05,1.202264434617413062e+05,1.492343074037618900e+00
1.202264434617413062e+05,1.445439770745928108e+05,2.122496475380273750e+00
1.445439770745928108e+05,1.737800828749376233e+05,2.868308817601071592e+00
1.737800828749376233e+05,2.089296130854040966e+05,3.674044289756371651e+00
2.089296130854040966e+05,2.511886431509582035e+05,4.480229243241249826e+00
2.511886431509582035e+05,3.019951720402018982e+05,5.367538667419072596e+00
3.019951720402018982e+05,3.630780547701017349e+05,6.423770392239481097e+00
3.630780547701017349e+05,4.365158322401665500e+05,7.239063373671780433e+00
4.365158322401665500e+05,5.248074602497733431e+05,8.212113765699895040e+00
5.248074602497733431e+05,6.309573444801942678e+05,9.300125555267348076e+00
6.309573444801942678e+05,7.585775750291835284e+05,1.039218367470770943e+01
7.585775750291835284e+05,9.120108393559096148e+05,1.151832788324113821e+01
9.120108393559096148e+05,1.096478196143185021e+06,1.296342020122780525e+01
1.096478196143185021e+06,1.318256738556407392e+06,1.437158769825456694e+01
1.318256738556407392e+06,1.584893192461114144e+06,1.566355025657349742e+01
1.584893192461114144e+06,1.905460717963248258e+06,1.704068517044830244e+01
1.905460717963248258e+06,2.290867652767769992e+06,1.892858958109149015e+01
2.290867652767769992e+06,2.754228703338163439e+06,2.069491898486248260e+01
2.754228703338163439e+06,3.311311214825907722e+06,2.261174710910519536e+01
3.311311214825907722e+06,3.981071705534969456e+06,2.439865623979619613e+01
3.981071705534969456e+06,4.786300923226380721e+06,2.687623990494191517e+01
4.786300923226380721e+06,5.754399373371566646e+06,2.922161361669157742e+01
5.754399373371566646e+06,6.918309709189362824e+06,3.146497965050699008e+01
6.918309709189362824e+06,8.317637711026708595e+06,3.381432027967886000e+01
8.317637711026708595e+06,1.000000000000000000e+07,3.599431673176404445e+01
