x,y,z
1.000000000000000000e+03,1.202264434617413144e+03,0.000000000000000000e+00
1.202264434617413144e+03,1.445439770745927945e+03,0.000000000000000000e+00
1.445439770745927945e+03,1.737800828749376251e+03,0.000000000000000000e+00
1.737800828749376251e+03,2.089296130854038893e+03,0.000000000000000000e+00
2.089296130854038893e+03,2.511886431509579779e+03,0.000000000000000000e+00
2.511886431509579779e+03,3.019951720402016235e+03,0.000000000000000000e+00
3.019951720402016235e+03,3.630780547701013802e+03,0.000000000000000000e+00
3.630780547701013802e+03,4.365158322401661280e+03,0.000000000000000000e+00
4.365158322401661280e+03,5.248074602497723390e+03,0.000000000000000000e+00
5.248074602497723390e+03,6.309573444801930236e+03,0.000000000000000000e+00
6.309573444801930236e+03,7.585775750291835720e+03,0.000000000000000000e+00
7.585775750291835720e+03,9.120108393559095930e+03,0.000000000000000000e+00
9.120108393559095930e+03,1.096478196143185050e+04,0.000000000000000000e+00
1.096478196143185050e+04,1.318256738556407436e+04,0.000000000000000000e+00
1.318256738556407436e+04,1.584893192461114086e+04,0.000000000000000000e+00
1.584893192461114086e+04,1.905460717963248317e+04,1.444688546900362470e-04
1.905460717963248317e+04,2.290867652767774780e+04,9.148781166968247749e-04
2.290867652767774780e+04,2.754228703338163177e+04,3.920221395588872199e-03
2.754228703338163177e+04,3.311311214825907518e+04,1.072546337577634686e-02
3.311311214825907518e+04,3.981071705534969078e+04,2.467819095090418441e-02
3.981071705534969078e+04,4.786300923226380110e+04,5.571644739493972903e-02
4.786300923226380110e+04,5.754399373371566617e+04,1.079622799495175423e-01
5.754399373371566617e+04,6.918309709189362184e+04,1.987544778704213866e-01
6.918309709189362184e+04,8.317637711026708712e+04,3.433455358408913360e-01
8.317637711026708712e+04,1.000000000000000000e+05,5.415468138572141488e-01
1.000000000000000000e+05,1.202264434617413062e+05,8.122809106052867323e-01
1.202264434617413062e+05,1.445439770745928108e+05,1.212227333110044603e+00
1.445439770745928108e+05,1.737800828749376233e+05,1.714575736206337853e+00
1.737800828749376233e+05,2.089296130854040966e+05,2.354145119525231866e+00
2.089296130854040966e+05,2.511886431509582035e+05,3.096203711736548403e+00
2.511886431509582035e+05,3.019951720402018982e+05,3.906597869164169623e+00
3.019951720402018982e+05,3.630780547701017349e+05,4.862115961349017468e+00
3.630780547701017349e+05,4.365158322401665500e+05,5.751757365870780347e+00
4.365158322401665500e+05,5.248074602497733431e+05,6.876882409725594059e+00
5.248074602497733431e+05,6.309573444801942678e+05,7.844114274025050904e+00
6.309573444801942678e+05,7.585775750291835284e+05,9.100732375626874315e+00
7.585775750291835284e+05,9.120108393559096148e+05,1.027668495350961031e+01
9.120108393559096148e+05,1.096478196143185021e+06,1.163912224974518494e+01
1.096478196143185021e+06,1.318256738556407392e+06,1.306738927925164973e+01
1.318256738556407392e+06,1.584893192461114144e+06,1.432279111738070476e+01
1.584893192461114144e+06,1.905460717963248258e+06,1.581267065630822088e+01
1.905460717963248258e+06,2.290867652767769992e+06,1.718944810322804884e+01
2.290867652767769992e+06,2.754228703338163439e+06,1.878282903177033702e+01
2.754228703338163439e+06,3.311311214825907722e+06,2.070766673346920328e+01
3.311311214825907722e+06,3.981071705534969456e+06,2.210792870109737507e+01
3.981071705534969456e+06,4.786300923226380721e+06,2.457371270383861628e+01
4.786300923226380721e+06,5.754399373371566646e+06,2.611333741261454833e+01
5.754399373371566646e+06,6.918309709189362824e+06,2.859163060153069935e+01
6.918309709189362824e+06,8.317637711026708595e+06,3.042703564843975883e+01
8.317637711026708595e+06,1.000000000000000000e+07,3.250301854145969571e+01
